pair_id,category,ground_truth,img_a,img_b,notes
gorilla_pair_21,easy_match,match,C:\Users\vasil\Thesis-project\dataset_for_gorilla\resized_512_crop\Easy (2).jpg,C:\Users\vasil\Thesis-project\dataset_for_gorilla\resized_512_crop\Easy (4).jpg,
gorilla_pair_22,easy_match,match,C:\Users\vasil\Thesis-project\dataset_for_gorilla\resized_512_crop\Easy (7).jpg,C:\Users\vasil\Thesis-project\dataset_for_gorilla\resized_512_crop\Easy (8).jpg,
gorilla_pair_23,easy_match,match,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Easy (5).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Easy (6).jpg,
gorilla_pair_24,easy_nonmatch,nonmatch,C:\Users\vasil\Thesis-project\dataset_for_gorilla\resized_512_crop\Easy (1).jpg,C:\Users\vasil\Thesis-project\dataset_for_gorilla\resized_512_crop\Easy (3).jpg,
gorilla_pair_25,easy_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Easy (9).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Easy (10).jpg,
gorilla_pair_26,easy_nonmatch,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Easy (11).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/Easy (12).jpg,
gorilla_pair_27,medium_match,match,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/medium (1).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/medium (2).jpg,
gorilla_pair_28,medium_match,match,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/medium (3).jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/medium (4).jpg,
gorilla_pair_29,medium_match,match,C:/Users/vasil/Thesis-project/dataset_for_gorilla/resized_512_crop/medium (5).jpg,C:\Users\vasil\Thesis-project\dataset_for_gorilla\resized_512_crop\medium (8).jpg,
gorilla_pair_30,medium_match,match,C:\Users\vasil\Thesis-project\dataset_for_gorilla\resized_512_crop\medium (9).jpg,C:\Users\vasil\Thesis-project\dataset_for_gorilla\resized_512_crop\medium (16).jpg,
