pair_id,category,ground_truth,sim,threshold,decision,correct,decision_margin,confidence_label,qualityA,qualityB,top_support_gray,top_conflict_gray,evidence_balance,spearman_rho,align_ok,parsing_ok,part_signals_ok,error
lfw_match_001,lfw_eval,match,0.8147528171539307,0.3148266077041626,match,Y,0.49992620944976807,high,22.979698181152344,25.108633041381836,skin,-,0.7201243340969086,0.7619047619047619,True,True,True,
lfw_match_002,lfw_eval,match,0.04935508221387863,0.3148266077041626,non-match,N,-0.26547152549028397,high,22.979698181152344,19.548084259033203,skin,nose,-0.020141273736953735,0.14285714285714285,True,True,True,
lfw_match_003,lfw_eval,match,0.47851234674453735,0.3148266077041626,match,Y,0.16368573904037476,high,22.50429916381836,19.754749298095703,skin,l_eye,0.4644014313817024,0.75,True,True,True,
lfw_match_004,lfw_eval,match,0.6698320508003235,0.3148266077041626,match,Y,0.3550054430961609,high,24.47929573059082,24.112037658691406,skin,mouth,0.6331239864230156,0.7619047619047619,True,True,True,
lfw_match_005,lfw_eval,match,0.5428850054740906,0.3148266077041626,match,Y,0.22805839776992798,high,24.29326057434082,20.652313232421875,skin,mouth,0.5292549580335617,0.6190476190476191,True,True,True,
lfw_match_006,lfw_eval,match,0.5237969756126404,0.3148266077041626,match,Y,0.20897036790847778,high,23.40276336669922,21.71118927001953,skin,-,0.2513459473848343,0.9428571428571428,True,True,True,
lfw_match_007,lfw_eval,match,0.6860448122024536,0.3148266077041626,match,Y,0.371218204498291,high,26.128156661987305,23.393537521362305,skin,mouth,0.5718899518251419,0.6428571428571429,True,True,True,
lfw_match_008,lfw_eval,match,0.1616843342781067,0.3148266077041626,non-match,N,-0.1531422734260559,high,13.580058097839355,23.393537521362305,r_brow,skin,-0.14171961741521955,0.17857142857142858,True,True,True,
lfw_match_009,lfw_eval,match,0.6068549156188965,0.3148266077041626,match,Y,0.2920283079147339,high,23.494800567626953,23.393537521362305,skin,l_eye,0.5611267313361168,0.7142857142857143,True,True,True,
lfw_match_010,lfw_eval,match,0.55533766746521,0.3148266077041626,match,Y,0.24051105976104736,high,24.29581642150879,24.32061767578125,skin,mouth,0.484345480799675,0.8095238095238095,True,True,True,
lfw_match_011,lfw_eval,match,0.6626042127609253,0.3148266077041626,match,Y,0.3477776050567627,high,25.599580764770508,23.16604995727539,skin,mouth,0.5804059058427811,0.8333333333333334,True,True,True,
lfw_match_012,lfw_eval,match,0.7623107433319092,0.3148266077041626,match,Y,0.4474841356277466,high,24.99118995666504,25.325241088867188,skin,l_brow,0.6338711977005005,0.6190476190476191,True,True,True,
lfw_match_013,lfw_eval,match,0.40237075090408325,0.3148266077041626,match,Y,0.08754414319992065,medium,25.325241088867188,18.62508773803711,skin,hair,0.3141073137521744,0.6666666666666666,True,True,True,
lfw_match_014,lfw_eval,match,0.4633708596229553,0.3148266077041626,match,Y,0.14854425191879272,medium,21.31110191345215,21.6342716217041,skin,nose,0.3708106726408005,0.2857142857142857,True,True,True,
lfw_match_015,lfw_eval,match,0.38701364398002625,0.3148266077041626,match,Y,0.07218703627586365,medium,25.101377487182617,19.882827758789062,skin,nose,0.32421736419200897,0.6428571428571429,True,True,True,
