pair_id,category,ground_truth,s0,decision,decision_margin,confidence_label,abs_A_top_minus_bottom,abs_A_top_vs_bottom,abs_A_random_vs_bottom,abs_A_top_beats_random,abs_B_top_minus_bottom,abs_B_top_vs_bottom,abs_B_random_vs_bottom,abs_B_top_beats_random,sup_A_top_minus_bottom,sup_A_top_vs_bottom,sup_B_top_minus_bottom,sup_B_top_vs_bottom,sup_all_same_sign,dir_n_directional,dir_insufficient,dir_flag,dir_top_minus_bottom,dir_top_vs_bottom,dir_top_beats_random,rho_gc_mean_gray,rho_gc_norm_gray,rho_gc_sum_gray,rho_gc_mean_blur,n_parts_abs,top_gc_part,top_abs_gray,top_abs_blur,top_sup_gray,top_sup_blur,s0_warning,gradcam_error,error
gorilla_pair_21,easy_match,match,0.0831,non-match,-0.2317,high,0.0062,2.6751,2.6350,True,0.0426,8.0730,5.1194,True,0.0152,-12.8658,0.0665,-0.7557,False,6,False,,0.0084,2.4608,True,0.1905,0.0000,0.6190,-0.2143,8,hair,skin,mouth,nose,mouth,,,
gorilla_pair_22,easy_match,match,0.4164,match,0.1016,medium,0.0413,12.5200,5.8066,True,0.0778,10.2819,8.7722,True,0.0479,-14.8993,0.0946,-10.2819,False,5,True,,,,,0.4148,-0.6343,0.6099,0.3416,8,mouth,skin,nose,skin,nose,,,
gorilla_pair_23,easy_match,match,0.6688,match,0.3540,high,0.0742,20.1843,8.8826,True,0.1663,23.3144,11.5025,True,0.0791,-69.9267,0.1812,-23.3144,False,5,True,,,,,-0.0476,-0.5714,0.5000,0.2143,8,hair,skin,skin,skin,skin,,,
gorilla_pair_24,easy_nonmatch,non-match,-0.0593,non-match,-0.3741,high,0.0156,2.5393,2.0222,True,0.0008,1.0571,0.8188,True,-0.0098,-1.4780,0.0041,-0.1309,False,3,True,,,,,0.0238,-0.1429,-0.2143,0.4048,8,mouth,l_eye,skin,skin,nose,,,
gorilla_pair_25,easy_nonmatch,non-match,0.1471,non-match,-0.1677,high,0.0090,2.3240,1.6487,True,0.0042,1.1923,0.9609,True,0.0084,-4.1464,0.0180,0.3861,False,1,True,,,,,-0.1261,-0.6667,0.0901,0.1081,7,nose,mouth,mouth,l_eye,nose,,,
gorilla_pair_26,easy_nonmatch,non-match,0.0381,non-match,-0.2767,high,0.0530,14.9435,6.2267,True,0.0163,3.3906,1.7703,True,0.0566,-0.6869,0.0205,-0.9563,False,5,True,,,,,0.1677,-0.2275,0.4311,0.7306,8,mouth,skin,skin,nose,nose,,,
gorilla_pair_27,medium_match,match,0.3473,match,0.0325,low,0.0445,8.8875,3.9916,True,0.0799,5.8033,2.8688,True,0.0461,12.3264,0.0799,5.8033,True,8,False,,0.0453,10.3282,True,0.2143,0.4048,0.6667,0.2381,8,mouth,skin,skin,skin,skin,,,
gorilla_pair_28,medium_match,match,0.7850,match,0.4701,high,0.0836,43.4538,18.1909,True,0.2370,61.4907,24.3747,True,0.0835,40.7465,0.2409,-7393.5089,False,6,False,,0.0771,10.0988,True,0.3333,0.4286,0.7143,0.2857,8,nose,skin,nose,skin,nose,,,
gorilla_pair_29,medium_match,match,0.7914,match,0.4766,high,0.0786,8.9761,4.3053,True,0.1553,12.4814,6.1387,True,0.0786,8.9761,0.1553,12.4814,True,7,False,,0.0786,8.9761,True,-0.7500,-0.0714,0.6429,-0.4286,7,r_eye,skin,nose,skin,nose,,,
gorilla_pair_30,medium_match,match,0.6485,match,0.3337,high,0.0562,13.0059,6.1524,True,0.1532,12.7294,5.3798,True,0.0562,13.0059,0.1470,8.7120,True,8,False,,0.0562,13.0059,True,-0.2857,0.0476,0.8810,0.2381,8,nose,skin,skin,skin,skin,,,
