pair_id,category,ground_truth,sim,threshold,decision,correct,decision_margin,confidence_label,qualityA,qualityB,top_support_gray,top_conflict_gray,evidence_balance,spearman_rho,align_ok,parsing_ok,part_signals_ok,error
hda_m_001,male_impostor,nonmatch,0.24954243004322052,0.3148266077041626,non-match,Y,-0.06528417766094208,medium,23.964569091796875,21.648086547851562,-,skin,-0.22478994727134705,0.7857142857142857,True,True,True,
hda_m_002,male_impostor,nonmatch,0.1305633783340454,0.3148266077041626,non-match,Y,-0.1842632293701172,high,24.71170425415039,20.14000129699707,l_eye,skin,-0.023975595831871033,0.47619047619047616,True,True,True,
hda_m_003,male_impostor,nonmatch,0.13027295470237732,0.3148266077041626,non-match,Y,-0.18455365300178528,high,22.37285041809082,21.724395751953125,hair,skin,-0.15643287356942892,0.5357142857142857,True,True,True,
hda_m_004,male_impostor,nonmatch,0.24085602164268494,0.3148266077041626,non-match,Y,-0.07397058606147766,medium,16.8034610748291,19.36629867553711,mouth,skin,-0.2202101070433855,-0.08571428571428572,True,True,True,
hda_m_005,male_impostor,nonmatch,-0.00995679385960102,0.3148266077041626,non-match,Y,-0.3247834015637636,high,17.814306259155273,21.27174949645996,skin,r_eye,0.02807610761374235,0.38095238095238093,True,True,True,
hda_m_006,male_impostor,nonmatch,0.23785261809825897,0.3148266077041626,non-match,Y,-0.07697398960590363,medium,10.770648002624512,18.170764923095703,mouth,skin,-0.18964295461773872,0.7714285714285715,True,True,True,
hda_m_007,male_impostor,nonmatch,0.16331754624843597,0.3148266077041626,non-match,Y,-0.15150906145572662,high,18.876750946044922,20.07623863220215,l_eye,skin,-0.040898263454437256,0.42857142857142855,True,True,True,
hda_m_008,male_impostor,nonmatch,0.11323563754558563,0.3148266077041626,non-match,Y,-0.20159097015857697,high,23.0662899017334,20.323606491088867,nose,hair,0.011805959045886993,-0.2857142857142857,True,True,True,
hda_m_009,male_impostor,nonmatch,0.0715188980102539,0.3148266077041626,non-match,Y,-0.2433077096939087,high,21.90673065185547,23.069753646850586,l_brow,r_brow,-0.029957646504044533,0.5,True,True,True,
hda_m_010,male_impostor,nonmatch,0.06556673347949982,0.3148266077041626,non-match,Y,-0.24925987422466278,high,21.406309127807617,22.118558883666992,nose,skin,-0.038723541889339685,0.9285714285714286,True,True,True,
hda_m_011,male_impostor,nonmatch,0.24287497997283936,0.3148266077041626,non-match,Y,-0.07195162773132324,medium,23.31867027282715,22.27945327758789,-,hair,-0.28867995738983154,-0.11904761904761904,True,True,True,
hda_m_012,male_impostor,nonmatch,0.0767870545387268,0.3148266077041626,non-match,Y,-0.2380395531654358,high,16.436275482177734,22.302650451660156,skin,hair,0.04216421116143465,0.0,True,True,True,
hda_m_013,male_impostor,nonmatch,0.06811074912548065,0.3148266077041626,non-match,Y,-0.24671585857868195,high,19.014415740966797,21.109779357910156,skin,mouth,-0.03423701133579016,0.023809523809523808,True,True,True,
hda_m_014,male_impostor,nonmatch,0.21124455332756042,0.3148266077041626,non-match,Y,-0.10358205437660217,medium,22.058862686157227,21.3630428314209,r_brow,skin,-0.19891496980562806,0.6,True,True,True,
hda_m_015,male_impostor,nonmatch,0.061072275042533875,0.3148266077041626,non-match,Y,-0.2537543326616287,high,25.51201820373535,21.550678253173828,hair,nose,-0.00430908752605319,0.8809523809523809,True,True,True,
hda_m_016,male_impostor,nonmatch,0.13886050879955292,0.3148266077041626,non-match,Y,-0.17596609890460968,high,24.461898803710938,20.362667083740234,r_eye,skin,-0.06431056559085846,0.5476190476190477,True,True,True,
hda_m_017,male_impostor,nonmatch,0.16913625597953796,0.3148266077041626,non-match,Y,-0.14569035172462463,medium,23.820798873901367,20.212722778320312,mouth,skin,-0.055070821195840836,0.9,True,True,True,
hda_m_018,male_impostor,nonmatch,0.08746477216482162,0.3148266077041626,non-match,Y,-0.22736183553934097,high,13.187007904052734,24.095470428466797,nose,skin,-0.0438140113838017,0.9285714285714286,True,True,True,
hda_m_019,male_impostor,nonmatch,0.10323067754507065,0.3148266077041626,non-match,Y,-0.21159593015909195,high,24.10595703125,15.689163208007812,mouth,hair,-0.050215134397149086,0.2,True,True,True,
hda_m_020,male_impostor,nonmatch,0.09629104286432266,0.3148266077041626,non-match,Y,-0.21853556483983994,high,18.572446823120117,20.626392364501953,nose,skin,-0.025948258116841316,0.7619047619047619,True,True,True,
hda_m_021,male_impostor,nonmatch,0.17048050463199615,0.3148266077041626,non-match,Y,-0.14434610307216644,medium,19.80145263671875,19.61066246032715,mouth,skin,-0.18282684311270714,0.9047619047619048,True,True,True,
hda_m_022,male_impostor,nonmatch,0.19723209738731384,0.3148266077041626,non-match,Y,-0.11759451031684875,medium,23.081804275512695,23.481786727905273,nose,skin,-0.049447014927864075,0.3142857142857143,True,True,True,
hda_m_023,male_impostor,nonmatch,0.07274335622787476,0.3148266077041626,non-match,Y,-0.24208325147628784,high,21.881271362304688,20.301393508911133,r_brow,nose,-0.14000327419489622,0.0,True,True,True,
hda_m_024,male_impostor,nonmatch,0.2615969181060791,0.3148266077041626,non-match,Y,-0.053229689598083496,medium,22.699384689331055,22.20552635192871,-,r_brow,-0.23271599411964417,0.7380952380952381,True,True,True,
hda_m_025,male_impostor,nonmatch,0.09513872861862183,0.3148266077041626,non-match,Y,-0.21968787908554077,high,23.291383743286133,20.572038650512695,-,skin,-0.16764420829713345,0.19047619047619047,True,True,True,
hda_m_026,male_impostor,nonmatch,0.2687842547893524,0.3148266077041626,non-match,Y,-0.04604235291481018,low,21.185455322265625,21.62765884399414,r_brow,skin,-0.19747132435441017,0.7714285714285715,True,True,True,
hda_m_027,male_impostor,nonmatch,0.18243995308876038,0.3148266077041626,non-match,Y,-0.13238665461540222,medium,21.36275291442871,22.107086181640625,nose,skin,-0.10670676454901695,0.7714285714285715,True,True,True,
hda_m_028,male_impostor,nonmatch,0.7309157252311707,0.3148266077041626,match,N,0.41608911752700806,high,20.17608070373535,20.28084945678711,skin,-,0.731980212032795,0.8928571428571429,True,True,True,
hda_m_029,male_impostor,nonmatch,0.040339890867471695,0.3148266077041626,non-match,Y,-0.2744867168366909,high,20.19369888305664,22.698558807373047,r_brow,skin,0.0011125002056360245,-0.14285714285714285,True,True,True,
hda_m_030,male_impostor,nonmatch,0.2361580729484558,0.3148266077041626,non-match,Y,-0.07866853475570679,medium,22.553314208984375,23.45530128479004,mouth,skin,-0.14720219373703003,0.6,True,True,True,
hda_m_031,male_impostor,nonmatch,0.06342810392379761,0.3148266077041626,non-match,Y,-0.251398503780365,high,18.770437240600586,21.741601943969727,nose,skin,-0.06798677146434784,-0.6,True,True,True,
hda_m_032,male_impostor,nonmatch,0.2719145119190216,0.3148266077041626,non-match,Y,-0.04291209578514099,low,22.100753784179688,21.443571090698242,hair,skin,-0.1903032474219799,0.8285714285714286,True,True,True,
hda_m_033,male_impostor,nonmatch,0.02673688903450966,0.3148266077041626,non-match,Y,-0.28808971866965294,high,20.932668685913086,20.5511474609375,r_brow,hair,0.006638034246861935,0.6,True,True,True,
hda_m_034,male_impostor,nonmatch,0.16337110102176666,0.3148266077041626,non-match,Y,-0.15145550668239594,high,19.278804779052734,19.250560760498047,skin,hair,-0.051840148866176605,0.21428571428571427,True,True,True,
hda_m_035,male_impostor,nonmatch,0.24659386277198792,0.3148266077041626,non-match,Y,-0.06823274493217468,medium,22.880199432373047,22.138521194458008,l_eye,skin,-0.20488813892006874,0.5357142857142857,True,True,True,
hda_m_036,male_impostor,nonmatch,0.21472446620464325,0.3148266077041626,non-match,Y,-0.10010214149951935,medium,20.43001937866211,21.421295166015625,l_eye,skin,-0.1632799543440342,0.8333333333333334,True,True,True,
hda_m_037,male_impostor,nonmatch,0.26427316665649414,0.3148266077041626,non-match,Y,-0.05055344104766846,medium,19.343164443969727,19.89010238647461,r_eye,skin,-0.19989025592803955,0.8571428571428571,True,True,True,
hda_m_038,male_impostor,nonmatch,0.1334543228149414,0.3148266077041626,non-match,Y,-0.1813722848892212,high,21.406309127807617,26.450393676757812,l_brow,nose,-0.0666754562407732,0.8928571428571429,True,True,True,
hda_m_039,male_impostor,nonmatch,0.3926507830619812,0.3148266077041626,match,N,0.0778241753578186,medium,21.41724967956543,22.68385124206543,skin,mouth,0.25943414866924286,0.8285714285714286,True,True,True,
hda_m_040,male_impostor,nonmatch,0.2118484079837799,0.3148266077041626,non-match,Y,-0.10297819972038269,medium,23.166973114013672,20.166913986206055,-,hair,-0.11702330410480499,0.08571428571428572,True,True,True,
hda_m_041,male_impostor,nonmatch,0.13719898462295532,0.3148266077041626,non-match,Y,-0.17762762308120728,high,21.410730361938477,15.0409574508667,mouth,skin,-0.11285659670829773,0.6,True,True,True,
hda_m_042,male_impostor,nonmatch,0.4302673041820526,0.3148266077041626,match,N,0.11544069647789001,medium,21.185455322265625,19.488361358642578,skin,nose,0.3056349530816078,0.5428571428571428,True,True,True,
hda_m_043,male_impostor,nonmatch,0.1677946001291275,0.3148266077041626,non-match,Y,-0.1470320075750351,medium,16.022804260253906,17.607759475708008,mouth,skin,-0.11245417967438698,0.09523809523809523,True,True,True,
hda_m_044,male_impostor,nonmatch,0.1124456524848938,0.3148266077041626,non-match,Y,-0.2023809552192688,high,19.426015853881836,25.326801300048828,hair,nose,-0.08009067177772522,0.6904761904761905,True,True,True,
hda_m_045,male_impostor,nonmatch,0.17778031527996063,0.3148266077041626,non-match,Y,-0.13704629242420197,medium,20.441587448120117,22.778310775756836,nose,hair,-0.09226416423916817,0.6,True,True,True,
hda_m_046,male_impostor,nonmatch,0.18684595823287964,0.3148266077041626,non-match,Y,-0.12798064947128296,medium,19.25836181640625,16.338130950927734,hair,skin,-0.09375877864658833,0.8857142857142857,True,True,True,
hda_m_047,male_impostor,nonmatch,0.3807096481323242,0.3148266077041626,match,N,0.06588304042816162,medium,20.697162628173828,20.188020706176758,skin,l_brow,0.5258841402828693,0.7142857142857143,True,True,True,
hda_m_048,male_impostor,nonmatch,0.061744533479213715,0.3148266077041626,non-match,Y,-0.2530820742249489,high,10.71582317352295,20.22746467590332,nose,hair,0.010629155673086643,-0.9,True,True,True,
