pair_id,category,ground_truth,img_a,img_b
lfw_match_001,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0013.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0014.jpg
lfw_match_002,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0013.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0016.jpg
lfw_match_003,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Abdullatif_Sener\Abdullatif_Sener_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Abdullatif_Sener\Abdullatif_Sener_0002.jpg
lfw_match_004,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Adel_Al-Jubeir\Adel_Al-Jubeir_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Adel_Al-Jubeir\Adel_Al-Jubeir_0003.jpg
lfw_match_005,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Al_Pacino\Al_Pacino_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Al_Pacino\Al_Pacino_0002.jpg
lfw_match_006,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Alan_Greenspan\Alan_Greenspan_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Alan_Greenspan\Alan_Greenspan_0005.jpg
lfw_match_007,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Albert_Costa\Albert_Costa_0002.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Albert_Costa\Albert_Costa_0006.jpg
lfw_match_008,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Albert_Costa\Albert_Costa_0004.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Albert_Costa\Albert_Costa_0006.jpg
lfw_match_009,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Albert_Costa\Albert_Costa_0005.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Albert_Costa\Albert_Costa_0006.jpg
lfw_match_010,lfw_eval,match,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Alejandro_Atchugarry\Alejandro_Atchugarry_0001.jpg,C:\Users\vasil\Thesis-project\thesis-explainable-face-verification\data\lfw\lfw-deepfunneled\lfw-deepfunneled\Alejandro_Atchugarry\Alejandro_Atchugarry_0002.jpg
