pair_id,category,ground_truth,s0,decision,decision_margin,confidence_label,abs_A_top_minus_bottom,abs_A_top_vs_bottom,abs_A_random_vs_bottom,abs_A_top_beats_random,abs_B_top_minus_bottom,abs_B_top_vs_bottom,abs_B_random_vs_bottom,abs_B_top_beats_random,sup_A_top_minus_bottom,sup_A_top_vs_bottom,sup_B_top_minus_bottom,sup_B_top_vs_bottom,sup_all_same_sign,dir_n_directional,dir_insufficient,dir_flag,dir_top_minus_bottom,dir_top_vs_bottom,dir_top_beats_random,rho_gc_mean_gray,rho_gc_norm_gray,rho_gc_sum_gray,rho_gc_mean_blur,n_parts_abs,top_gc_part,top_abs_gray,top_abs_blur,top_sup_gray,top_sup_blur,s0_warning,gradcam_error,error
lfw_match_001,lfw_eval,match,0.8148,match,0.4999,high,0.0306,2.8261,1.9131,True,0.0882,2.0525,1.5263,True,0.0306,2.8261,0.0882,2.0525,True,6,False,,0.0306,2.8261,True,0.3143,-0.0857,0.6000,-0.6000,6,hair,skin,skin,skin,skin,,,
lfw_match_002,lfw_eval,match,0.0494,non-match,-0.2655,high,,,,,,,,,,,,,False,1,True,,,,,-0.5000,0.5000,0.5000,0.5000,3,mouth,hair,skin,skin,skin,,,
lfw_match_003,lfw_eval,match,0.4785,match,0.1637,high,0.0571,9.6308,5.6396,True,0.1359,5.5545,3.0127,True,0.0597,15.6863,0.1379,5.9537,False,6,False,,0.0419,2.9154,True,-0.3571,-0.3929,0.6786,-0.4643,7,l_brow,skin,skin,skin,skin,,,
lfw_match_004,lfw_eval,match,0.6698,match,0.3550,high,0.0576,12.3969,5.5406,True,0.1808,14.6057,6.6202,True,0.0576,12.3969,0.1810,14.8452,False,7,False,,0.0593,18.8846,True,0.0476,0.4524,0.9286,-0.3333,8,r_eye,skin,skin,skin,skin,,,
lfw_match_005,lfw_eval,match,0.5429,match,0.2281,high,0.0134,2.3002,2.2524,True,0.0979,3.8876,1.9016,True,0.0216,-100.1765,0.1119,6.6074,False,6,False,,-0.0066,0.7743,False,0.5476,0.3095,0.8810,0.0476,8,l_brow,skin,nose,skin,nose,,,
lfw_match_006,lfw_eval,match,0.5238,match,0.2090,high,0.0263,4.0462,2.5231,True,0.0607,4.5905,2.7953,True,0.0210,3.4336,0.0607,4.5905,True,6,False,,0.0237,3.7399,True,-0.0286,-0.5429,0.5429,-0.4286,6,hair,skin,skin,skin,skin,,,
lfw_match_007,lfw_eval,match,0.6860,match,0.3712,high,0.0347,4.0252,2.3556,True,0.1193,7.0494,3.5623,True,0.0430,14.2997,0.1405,-93.6654,False,5,True,,,,,-0.0714,-0.7500,0.1786,0.2500,7,hair,skin,skin,skin,skin,,,
lfw_match_008,lfw_eval,match,0.1617,non-match,-0.1531,high,0.0050,1.5226,1.3758,True,0.0305,6.4693,4.0965,True,0.0150,-0.0589,0.0465,-0.5860,False,5,True,,,,,-0.4286,-0.0357,0.3929,-0.3929,7,l_brow,skin,skin,r_brow,r_brow,,,
lfw_match_009,lfw_eval,match,0.6069,match,0.2920,high,0.0284,2.7760,1.7399,True,0.1268,15.7662,7.5398,True,0.0317,3.4822,0.1296,23.2320,False,6,False,,0.0255,2.3479,True,-0.2500,0.7857,0.7857,-0.0357,7,l_eye,skin,skin,skin,skin,,,
lfw_match_010,lfw_eval,match,0.5553,match,0.2405,high,0.0506,9.0977,4.4044,True,0.1455,24.4557,10.4708,True,0.0515,10.6507,0.1455,24.4557,False,7,False,,0.0555,40.8845,True,0.0000,-0.3571,0.4286,0.0476,8,l_brow,skin,nose,skin,nose,,,
