-----------------------------------------------------------------------------------------------------------------------------------------------
pair_id                 category            gt         sim      decision     ok       margin    conf       top_sup       top_con       rho   
-----------------------------------------------------------------------------------------------------------------------------------------------
lfw_match_001           lfw_eval            match      0.8148   match        Y        0.4999    high       skin          -             0.762 
lfw_match_002           lfw_eval            match      0.0494   non-match    N        -0.2655   high       skin          nose          0.143 
lfw_match_003           lfw_eval            match      0.4785   match        Y        0.1637    high       skin          l_eye         0.750 
lfw_match_004           lfw_eval            match      0.6698   match        Y        0.3550    high       skin          mouth         0.762 
lfw_match_005           lfw_eval            match      0.5429   match        Y        0.2281    high       skin          mouth         0.619 
lfw_match_006           lfw_eval            match      0.5238   match        Y        0.2090    high       skin          -             0.943 
lfw_match_007           lfw_eval            match      0.6860   match        Y        0.3712    high       skin          mouth         0.643 
lfw_match_008           lfw_eval            match      0.1617   non-match    N        -0.1531   high       r_brow        skin          0.179 
lfw_match_009           lfw_eval            match      0.6069   match        Y        0.2920    high       skin          l_eye         0.714 
lfw_match_010           lfw_eval            match      0.5553   match        Y        0.2405    high       skin          mouth         0.810 
lfw_match_011           lfw_eval            match      0.6626   match        Y        0.3478    high       skin          mouth         0.833 
lfw_match_012           lfw_eval            match      0.7623   match        Y        0.4475    high       skin          l_brow        0.619 
lfw_match_013           lfw_eval            match      0.4024   match        Y        0.0875    medium     skin          hair          0.667 
lfw_match_014           lfw_eval            match      0.4634   match        Y        0.1485    medium     skin          nose          0.286 
lfw_match_015           lfw_eval            match      0.3870   match        Y        0.0722    medium     skin          nose          0.643 
lfw_match_016           lfw_eval            match      0.5044   match        Y        0.1896    high       skin          -             0.314 
lfw_match_017           lfw_eval            match      0.7111   match        Y        0.3963    high       skin          l_brow        0.886 
lfw_match_018           lfw_eval            match      0.3384   match        Y        0.0236    low        skin          r_brow        0.771 
lfw_match_019           lfw_eval            match      0.5222   match        Y        0.2074    high       skin          hair          0.905 
lfw_match_020           lfw_eval            match      0.3277   match        Y        0.0129    low        skin          hair          1.000 
lfw_match_021           lfw_eval            match      0.0401   non-match    N        -0.2747   high       nose          hair          0.000 
lfw_match_022           lfw_eval            match      0.1193   non-match    N        -0.1955   high       nose          skin          0.786 
lfw_match_023           lfw_eval            match      0.4657   match        Y        0.1508    high       hair          nose          0.393 
lfw_match_024           lfw_eval            match      0.2819   non-match    N        -0.0329   low        nose          skin          0.881 
lfw_match_025           lfw_eval            match      0.4978   match        Y        0.1830    high       skin          nose          0.829 
lfw_match_026           lfw_eval            match      0.4453   match        Y        0.1304    medium     skin          r_eye         0.893 
lfw_match_027           lfw_eval            match      0.4677   match        Y        0.1529    high       skin          mouth         0.357 
lfw_match_028           lfw_eval            match      0.2701   non-match    N        -0.0447   low        mouth         skin          0.548 
lfw_match_029           lfw_eval            match      0.6178   match        Y        0.3029    high       skin          nose          1.000 
lfw_match_030           lfw_eval            match      0.4184   match        Y        0.1036    medium     skin          nose          0.286 
lfw_match_031           lfw_eval            match      0.4640   match        Y        0.1492    medium     skin          l_brow        0.762 
lfw_match_032           lfw_eval            match      0.5309   match        Y        0.2160    high       skin          mouth         -0.048
lfw_match_033           lfw_eval            match      0.5628   match        Y        0.2479    high       skin          nose          -0.048
lfw_match_034           lfw_eval            match      0.3330   match        Y        0.0182    low        skin          nose          0.214 
lfw_match_035           lfw_eval            match      0.6317   match        Y        0.3169    high       hair          l_brow        0.762 
lfw_match_036           lfw_eval            match      0.4866   match        Y        0.1718    high       hair          r_eye         0.771 
lfw_match_037           lfw_eval            match      0.5076   match        Y        0.1928    high       skin          r_brow        0.657 
lfw_match_038           lfw_eval            match      0.6263   match        Y        0.3115    high       skin          l_brow        0.714 
lfw_match_039           lfw_eval            match      0.5140   match        Y        0.1991    high       skin          r_brow        0.886 
lfw_match_040           lfw_eval            match      0.7231   match        Y        0.4083    high       skin          -             0.714 
lfw_match_041           lfw_eval            match      0.3952   match        Y        0.0803    medium     skin          nose          0.262 
lfw_match_042           lfw_eval            match      0.2336   non-match    N        -0.0812   medium     nose          skin          -0.714
lfw_match_043           lfw_eval            match      0.1890   non-match    N        -0.1259   medium     r_brow        skin          0.371 
lfw_match_044           lfw_eval            match      0.6290   match        Y        0.3141    high       skin          l_brow        0.524 
lfw_match_045           lfw_eval            match      0.4822   match        Y        0.1673    high       skin          l_eye         0.786 
lfw_match_046           lfw_eval            match      0.4205   match        Y        0.1057    medium     skin          r_brow        0.657 
