pair_id,category,ground_truth,img_a,img_b,notes
hda_m_001,male_impostor,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_001_Original.jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_001_Lookalike.jpg,
hda_m_002,male_impostor,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_002_Original.jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_002_Lookalike.jpg,
hda_m_003,male_impostor,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_003_Original.jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_003_Lookalike.jpg,
hda_m_004,male_impostor,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_004_Original.jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_004_Lookalike.jpg,
hda_m_005,male_impostor,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_005_Original.jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_005_Lookalike.jpg,
hda_m_006,male_impostor,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_006_Original.jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_006_Lookalike.jpg,
hda_m_007,male_impostor,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_007_Original.jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_007_Lookalike.jpg,
hda_m_008,male_impostor,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_008_Original.jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_008_Lookalike.jpg,
hda_m_009,male_impostor,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_009_Original.jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_009_Lookalike.jpg,
hda_m_010,male_impostor,nonmatch,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_010_Original.jpg,C:/Users/vasil/Thesis-project/dataset_for_gorilla/HDA/Male/M_010_Lookalike.jpg,
