-----------------------------------------------------------------------------------------------------------------------------------------------
pair_id                 category            gt         sim      decision     ok       margin    conf       top_sup       top_con       rho   
-----------------------------------------------------------------------------------------------------------------------------------------------
hda_m_001               male_impostor       nonmatch   0.2495   non-match    Y        -0.0653   medium     -             skin          0.786 
hda_m_002               male_impostor       nonmatch   0.1306   non-match    Y        -0.1843   high       l_eye         skin          0.476 
hda_m_003               male_impostor       nonmatch   0.1303   non-match    Y        -0.1846   high       hair          skin          0.536 
hda_m_004               male_impostor       nonmatch   0.2409   non-match    Y        -0.0740   medium     mouth         skin          -0.086
hda_m_005               male_impostor       nonmatch   -0.0100  non-match    Y        -0.3248   high       skin          r_eye         0.381 
hda_m_006               male_impostor       nonmatch   0.2379   non-match    Y        -0.0770   medium     mouth         skin          0.771 
hda_m_007               male_impostor       nonmatch   0.1633   non-match    Y        -0.1515   high       l_eye         skin          0.429 
hda_m_008               male_impostor       nonmatch   0.1132   non-match    Y        -0.2016   high       nose          hair          -0.286
hda_m_009               male_impostor       nonmatch   0.0715   non-match    Y        -0.2433   high       l_brow        r_brow        0.500 
hda_m_010               male_impostor       nonmatch   0.0656   non-match    Y        -0.2493   high       nose          skin          0.929 
hda_m_011               male_impostor       nonmatch   0.2429   non-match    Y        -0.0720   medium     -             hair          -0.119
hda_m_012               male_impostor       nonmatch   0.0768   non-match    Y        -0.2380   high       skin          hair          0.000 
hda_m_013               male_impostor       nonmatch   0.0681   non-match    Y        -0.2467   high       skin          mouth         0.024 
hda_m_014               male_impostor       nonmatch   0.2112   non-match    Y        -0.1036   medium     r_brow        skin          0.600 
hda_m_015               male_impostor       nonmatch   0.0611   non-match    Y        -0.2538   high       hair          nose          0.881 
hda_m_016               male_impostor       nonmatch   0.1389   non-match    Y        -0.1760   high       r_eye         skin          0.548 
hda_m_017               male_impostor       nonmatch   0.1691   non-match    Y        -0.1457   medium     mouth         skin          0.900 
hda_m_018               male_impostor       nonmatch   0.0875   non-match    Y        -0.2274   high       nose          skin          0.929 
hda_m_019               male_impostor       nonmatch   0.1032   non-match    Y        -0.2116   high       mouth         hair          0.200 
hda_m_020               male_impostor       nonmatch   0.0963   non-match    Y        -0.2185   high       nose          skin          0.762 
hda_m_021               male_impostor       nonmatch   0.1705   non-match    Y        -0.1443   medium     mouth         skin          0.905 
hda_m_022               male_impostor       nonmatch   0.1972   non-match    Y        -0.1176   medium     nose          skin          0.314 
hda_m_023               male_impostor       nonmatch   0.0727   non-match    Y        -0.2421   high       r_brow        nose          0.000 
hda_m_024               male_impostor       nonmatch   0.2616   non-match    Y        -0.0532   medium     -             r_brow        0.738 
hda_m_025               male_impostor       nonmatch   0.0951   non-match    Y        -0.2197   high       -             skin          0.190 
hda_m_026               male_impostor       nonmatch   0.2688   non-match    Y        -0.0460   low        r_brow        skin          0.771 
hda_m_027               male_impostor       nonmatch   0.1824   non-match    Y        -0.1324   medium     nose          skin          0.771 
hda_m_028               male_impostor       nonmatch   0.7309   match        N        0.4161    high       skin          -             0.893 
