pair_id,category,ground_truth,sim,threshold,decision,correct,decision_margin,confidence_label,qualityA,qualityB,top_support_gray,top_conflict_gray,evidence_balance,spearman_rho,align_ok,parsing_ok,part_signals_ok,error
gorilla_pair_21,easy_match,match,0.08309857547283173,0.3148266077041626,non-match,N,-0.23172803223133087,high,14.599342346191406,22.2864990234375,nose,skin,-0.013494408689439297,0.38095238095238093,True,True,True,
gorilla_pair_22,easy_match,match,0.41639554500579834,0.3148266077041626,match,Y,0.10156893730163574,medium,12.950215339660645,15.531387329101562,skin,nose,0.4770783828571439,0.6904761904761905,True,True,True,
gorilla_pair_23,easy_match,match,0.6687874794006348,0.3148266077041626,match,Y,0.35396087169647217,high,21.661359786987305,18.481273651123047,skin,l_eye,0.5482982993125916,0.8571428571428571,True,True,True,
gorilla_pair_24,easy_nonmatch,nonmatch,-0.05926140397787094,0.3148266077041626,non-match,Y,-0.37408801168203354,high,21.015926361083984,15.43806266784668,l_eye,skin,0.04591774381697178,0.38095238095238093,True,True,True,
gorilla_pair_25,easy_nonmatch,nonmatch,0.14707836508750916,0.3148266077041626,non-match,Y,-0.16774824261665344,high,23.165695190429688,21.697919845581055,r_brow,skin,-0.12255235016345978,0.7857142857142857,True,True,True,
gorilla_pair_26,easy_nonmatch,nonmatch,0.038111403584480286,0.3148266077041626,non-match,Y,-0.2767152041196823,high,21.958820343017578,20.268110275268555,nose,r_brow,-0.0171231790445745,0.42857142857142855,True,True,True,
gorilla_pair_27,medium_match,match,0.3473104238510132,0.3148266077041626,match,Y,0.032483816146850586,low,19.322311401367188,22.72447395324707,skin,mouth,0.3536486476659775,0.8095238095238095,True,True,True,
gorilla_pair_28,medium_match,match,0.784956157207489,0.3148266077041626,match,Y,0.4701295495033264,high,21.22620964050293,21.72516441345215,skin,r_eye,0.7791632935404778,0.9047619047619048,True,True,True,
gorilla_pair_29,medium_match,match,0.791399359703064,0.3148266077041626,match,Y,0.47657275199890137,high,23.03520965576172,21.65772819519043,skin,l_eye,0.5760225504636765,0.9285714285714286,True,True,True,
gorilla_pair_30,medium_match,match,0.6485226154327393,0.3148266077041626,match,Y,0.33369600772857666,high,22.909080505371094,24.15909194946289,skin,l_brow,0.45593874901533127,0.9285714285714286,True,True,True,
gorilla_pair_31,medium_nonmatch,nonmatch,0.2786681652069092,0.3148266077041626,non-match,Y,-0.03615844249725342,low,22.100753784179688,21.22879409790039,hair,skin,-0.17978552728891373,0.9428571428571428,True,True,True,
gorilla_pair_32,medium_nonmatch,nonmatch,0.23471546173095703,0.3148266077041626,non-match,Y,-0.08011114597320557,medium,23.248262405395508,21.26800537109375,nose,skin,-0.23941754549741745,0.9047619047619048,True,True,True,
gorilla_pair_33,medium_nonmatch,nonmatch,0.12383680790662766,0.3148266077041626,non-match,Y,-0.19098979979753494,high,22.169368743896484,19.85380744934082,nose,mouth,-0.12943192198872566,0.6428571428571429,True,True,True,
gorilla_pair_34,medium_nonmatch,nonmatch,0.23938775062561035,0.3148266077041626,non-match,Y,-0.07543885707855225,medium,21.052379608154297,20.65806770324707,l_brow,skin,-0.2977439593523741,0.6190476190476191,True,True,True,
gorilla_pair_35,hard_match,match,0.5449780225753784,0.3148266077041626,match,Y,0.23015141487121582,high,21.78597640991211,22.079782485961914,skin,mouth,0.5758187947794795,0.7380952380952381,True,True,True,
gorilla_pair_36,hard_match,match,0.4693535566329956,0.3148266077041626,match,Y,0.154526948928833,high,21.60334014892578,21.995214462280273,skin,l_brow,0.4604637324810028,0.6666666666666666,True,True,True,
gorilla_pair_37,hard_match,match,0.4967859387397766,0.3148266077041626,match,Y,0.181959331035614,high,19.64920997619629,20.95816993713379,skin,nose,0.5149885006248951,0.42857142857142855,True,True,True,
gorilla_pair_38,hard_match,match,-0.02158735692501068,0.3148266077041626,non-match,N,-0.3364139646291733,high,19.682565689086914,15.039108276367188,skin,skin,0.06473240489140153,0.3333333333333333,True,True,True,
gorilla_pair_39,hard_match,match,0.6358217597007751,0.3148266077041626,match,Y,0.32099515199661255,high,21.29120445251465,22.808849334716797,skin,l_eye,0.6102923229336739,0.9642857142857143,True,True,True,
gorilla_pair_40,hard_match,match,0.5882284641265869,0.3148266077041626,match,Y,0.2734018564224243,high,22.124799728393555,24.610136032104492,skin,-,0.6636826917529106,0.5714285714285714,True,True,True,
gorilla_pair_41,hard_match,match,0.24367079138755798,0.3148266077041626,non-match,N,-0.07115581631660461,medium,20.176225662231445,18.304311752319336,r_brow,skin,-0.1618247777223587,1.0,True,True,True,
gorilla_pair_1,hard_nonmatch,nonmatch,0.2214794158935547,0.3148266077041626,non-match,Y,-0.09334719181060791,medium,23.3601131439209,21.64638900756836,hair,skin,-0.2215547189116478,0.7619047619047619,True,True,True,
gorilla_pair_2,hard_nonmatch,nonmatch,0.08497928828001022,0.3148266077041626,non-match,Y,-0.22984731942415237,high,19.784881591796875,20.728458404541016,nose,skin,0.042241258546710014,0.6666666666666666,True,True,True,
gorilla_pair_3,hard_nonmatch,nonmatch,0.1792537122964859,0.3148266077041626,non-match,Y,-0.1355728954076767,medium,25.169078826904297,21.980836868286133,l_eye,nose,-0.1908848937600851,0.47619047619047616,True,True,True,
gorilla_pair_4,hard_nonmatch,nonmatch,0.12011924386024475,0.3148266077041626,non-match,Y,-0.19470736384391785,high,21.199003219604492,21.728717803955078,skin,nose,-0.051751866936683655,0.7857142857142857,True,True,True,
gorilla_pair_5,hard_nonmatch,nonmatch,0.033126987516880035,0.3148266077041626,non-match,Y,-0.28169962018728256,high,21.71380043029785,20.796947479248047,hair,skin,0.03168901149183512,-0.11904761904761904,True,True,True,
gorilla_pair_6,hard_nonmatch,nonmatch,0.2862035930156708,0.3148266077041626,non-match,Y,-0.02862301468849182,low,19.870994567871094,20.74635887145996,hair,skin,-0.3230524156242609,0.9523809523809523,True,True,True,
gorilla_pair_7,hard_nonmatch,nonmatch,0.27636227011680603,0.3148266077041626,non-match,Y,-0.03846433758735657,low,23.92574119567871,23.699506759643555,r_brow,skin,-0.35027592070400715,0.6904761904761905,True,True,True,
gorilla_pair_8,hard_nonmatch,nonmatch,0.23518149554729462,0.3148266077041626,non-match,Y,-0.07964511215686798,medium,24.103496551513672,20.13711929321289,nose,skin,-0.2896287851035595,0.5952380952380952,True,True,True,
gorilla_pair_9,hard_nonmatch,nonmatch,0.1504923403263092,0.3148266077041626,non-match,Y,-0.1643342673778534,high,21.525405883789062,23.392107009887695,mouth,skin,-0.18306176643818617,0.9761904761904762,True,True,True,
gorilla_pair_10,hard_nonmatch,nonmatch,0.19269713759422302,0.3148266077041626,non-match,Y,-0.12212947010993958,medium,20.507610321044922,22.42613410949707,l_brow,skin,-0.22259662300348282,0.5952380952380952,True,True,True,
gorilla_pair_11,hard_nonmatch,nonmatch,0.19038647413253784,0.3148266077041626,non-match,Y,-0.12444013357162476,medium,23.233259201049805,21.467811584472656,hair,nose,-0.2350667640566826,0.7619047619047619,True,True,True,
gorilla_pair_12,hard_nonmatch,nonmatch,0.13200370967388153,0.3148266077041626,non-match,Y,-0.18282289803028107,high,19.121416091918945,9.437638282775879,hair,skin,-0.06928022764623165,0.40476190476190477,True,True,True,
gorilla_pair_13,hard_nonmatch,nonmatch,0.3168027997016907,0.3148266077041626,match,N,0.001976191997528076,low,21.55763053894043,16.4968204498291,skin,nose,0.1668793261051178,-0.23809523809523808,True,True,True,
gorilla_pair_14,hard_nonmatch,nonmatch,0.3690625727176666,0.3148266077041626,match,N,0.05423596501350403,medium,19.859411239624023,19.98820686340332,skin,l_eye,0.28546442836523056,0.8333333333333334,True,True,True,
